full_name,type,state,party,marker
William Widgery,House,MA,Republican,MA15
David Williams,House,SC,Republican,SC3
Thomas Wilson,House,VA,Federalist,VA1
Richard Winn,House,SC,Republican,SC5
Jean Destréhan,Senate,LA,Unknown,LA
Allan Magruder,Senate,LA,Republican,LA
Thomas Posey,Senate,LA,Republican,LA
William Barnett,House,GA,Republican,GA
Thomas Bayly,House,VA,Federalist,VA13
Reasin Beall,House,OH,Republican,OH6
Egbert Benson,House,NY,Federalist,NY2
William Bibb,Senate,GA,Republican,GA
Abijah Bigelow,House,MA,Federalist,MA11
Thomas Bines,House,NJ,Republican,NJ3
Jesse Bledsoe,Senate,KY,Republican,KY
Shadrack Bond,House,IL,,IL
John Bowen,House,TN,Republican,TN4
John Bowers,House,NY,Federalist,NY15
Alexander Boyd,House,NY,Federalist,NY13
Robert Brown,House,PA,Republican,PA6
William Bulloch,Senate,GA,Republican,GA
Ezra Butler,House,VT,Republican,VT
Hugh Caperton,House,VA,Federalist,VA7
Langdon Cheves,House,SC,Republican,SC1
John Conard,House,PA,Republican,PA1
William Coxe,House,NJ,Federalist,NJ3
Edward Crouch,House,PA,Republican,PA3
David Daggett,Senate,CT,Federalist,CT
Samuel Dana,House,MA,Republican,MA4
Roger Davis,House,PA,Republican,PA2
Samuel Davis,House,MA,Federalist,MA16
John Dawson,House,VA,Republican,VA11
Peter Denoyelles,House,NY,Republican,NY3
Daniel Dewey,House,MA,Federalist,MA12
William Duval,House,KY,Republican,KY1
William Ely,House,MA,Federalist,MA5
David Evans,House,SC,Republican,SC5
Samuel Farrow,House,SC,Republican,SC8
Peter Forney,House,NC,Republican,NC11
Meshack Franklin,House,NC,Republican,NC13
Eligius Fromentin,Senate,LA,Republican,LA
James Geddes,House,NY,Federalist,NY19
John Gloninger,House,PA,Federalist,PA3
Theodore Gourdin,House,SC,Republican,SC3
Thomas Harris,House,TN,Republican,TN3
Abraham Hasbrouck,House,NY,Republican,NY7
Joseph Hawkins,House,KY,Republican,KY2
Edward Hempstead,House,MO,,MO
Samuel Henderson,House,PA,Federalist,PA2
Samuel Hopkins,House,KY,Republican,KY5
Samuel Hopkins,House,NY,Federalist,NY21
Nathaniel Howell,House,NY,Federalist,NY21
Levi Hubbard,House,MA,Republican,MA2
Jacob Hufty,House,NJ,Federalist,NJ3
Parry Humphreys,House,TN,Republican,TN6
John Hyneman,House,PA,Republican,PA7
Richard Jackson,House,RI,Federalist,RI
William Kennedy,House,NC,Republican,NC3
John Kershaw,House,SC,Republican,SC9
Abner Lacock,Senate,PA,Republican,PA
John Lefferts,House,NY,Republican,NY1
Jacob Markell,House,NY,Federalist,NY14
Jeremiah Mason,Senate,NH,Federalist,NH
Alexander McKim,House,MD,Republican,MD5
Morris Miller,House,NY,Federalist,NY16
Joseph Pearson,House,NC,Federalist,NC1
Jotham Post,House,NY,Federalist,NY2
Elisha Potter,House,RI,Federalist,RI
John Rea,House,PA,Republican,PA5
William Reed,House,MA,Federalist,MA2
William Richardson,House,MA,Republican,MA4
James Schureman,House,NJ,Federalist,NJ2
Samuel Sherwood,House,NY,Federalist,NY8
Zebulon Shipherd,House,NY,Federalist,NY12
Richard Skinner,House,VT,Republican,VT
Amos Slaymaker,House,PA,Federalist,PA3
Isaac Smith,House,PA,Republican,PA1
